2024-12-11 00:00:29,877 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:40:04,726 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:40:04,727 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.03)
2024-12-11 00:40:04,735 | TradingBot | INFO | Next check time: 2024-12-11 00:41:04
2024-12-11 00:41:13,806 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:41:13,806 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.02)
2024-12-11 00:41:13,816 | TradingBot | INFO | Next check time: 2024-12-11 00:42:13
2024-12-11 00:42:15,738 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:42:15,739 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.01)
2024-12-11 00:42:15,748 | TradingBot | INFO | Next check time: 2024-12-11 00:43:15
2024-12-11 00:43:17,286 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:43:17,286 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.01)
2024-12-11 00:43:17,296 | TradingBot | INFO | Next check time: 2024-12-11 00:44:17
2024-12-11 00:44:19,002 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:44:19,003 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.00)
2024-12-11 00:44:19,011 | TradingBot | INFO | Next check time: 2024-12-11 00:45:19
2024-12-11 00:45:20,541 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:45:20,541 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.01)
2024-12-11 00:45:20,553 | TradingBot | INFO | Next check time: 2024-12-11 00:46:20
2024-12-11 00:46:22,043 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:46:22,043 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.02)
2024-12-11 00:46:22,054 | TradingBot | INFO | Next check time: 2024-12-11 00:47:22
2024-12-11 00:47:23,593 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:47:23,594 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.02)
2024-12-11 00:47:23,603 | TradingBot | INFO | Next check time: 2024-12-11 00:48:23
2024-12-11 00:48:25,117 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:48:25,118 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.01)
2024-12-11 00:48:25,128 | TradingBot | INFO | Next check time: 2024-12-11 00:49:25
2024-12-11 00:49:26,628 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:49:26,629 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.02)
2024-12-11 00:49:26,638 | TradingBot | INFO | Next check time: 2024-12-11 00:50:26
2024-12-11 00:50:28,090 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:50:28,091 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.03)
2024-12-11 00:50:28,099 | TradingBot | INFO | Next check time: 2024-12-11 00:51:28
2024-12-11 00:51:30,509 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:51:30,509 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.01)
2024-12-11 00:51:30,519 | TradingBot | INFO | Next check time: 2024-12-11 00:52:30
2024-12-11 00:52:32,035 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:52:32,035 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.02)
2024-12-11 00:52:32,045 | TradingBot | INFO | Next check time: 2024-12-11 00:53:32
2024-12-11 00:53:34,377 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:53:34,378 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.03)
2024-12-11 00:53:34,387 | TradingBot | INFO | Next check time: 2024-12-11 00:54:34
2024-12-11 00:54:35,849 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:54:35,849 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.03)
2024-12-11 00:54:35,858 | TradingBot | INFO | Next check time: 2024-12-11 00:55:35
2024-12-11 00:55:38,161 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:55:38,162 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.05)
2024-12-11 00:55:38,171 | TradingBot | INFO | Next check time: 2024-12-11 00:56:38
2024-12-11 00:56:39,614 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:56:39,615 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.05)
2024-12-11 00:56:39,622 | TradingBot | INFO | Next check time: 2024-12-11 00:57:39
2024-12-11 00:57:41,970 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:57:41,971 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.02)
2024-12-11 00:57:41,980 | TradingBot | INFO | Next check time: 2024-12-11 00:58:41
2024-12-11 00:58:43,416 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:58:43,417 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.02)
2024-12-11 00:58:43,426 | TradingBot | INFO | Next check time: 2024-12-11 00:59:43
2024-12-11 00:59:44,895 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 00:59:44,895 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.01)
2024-12-11 00:59:44,903 | TradingBot | INFO | Next check time: 2024-12-11 01:00:44
2024-12-11 01:00:46,456 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 01:00:46,457 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.03)
2024-12-11 01:00:46,466 | TradingBot | INFO | Next check time: 2024-12-11 01:01:46
2024-12-11 01:01:48,287 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 01:01:48,288 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.04)
2024-12-11 01:01:48,297 | TradingBot | INFO | Next check time: 2024-12-11 01:02:48
2024-12-11 01:02:49,919 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 01:02:49,919 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.04)
2024-12-11 01:02:49,927 | TradingBot | INFO | Next check time: 2024-12-11 01:03:49
2024-12-11 01:03:58,275 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 01:03:58,276 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.04)
2024-12-11 01:03:58,285 | TradingBot | INFO | Next check time: 2024-12-11 01:04:58
2024-12-11 01:04:59,809 | TradingBot | INFO | Trade status: First trade - no cooling period applied
2024-12-11 01:04:59,810 | TradingBot | INFO | Signal not strong enough. No trade executed. (Signal: 0.04)
2024-12-11 01:04:59,823 | TradingBot | INFO | Next check time: 2024-12-11 01:05:59
2024-12-11 01:05:41,759 | TradingBot | ERROR | Market analysis failed: asyncio.run() cannot be called from a running event loop
2024-12-11 01:05:41,760 | TradingBot | ERROR | Error in trading iteration: asyncio.run() cannot be called from a running event loop
2024-12-11 01:05:41,760 | TradingBot | ERROR | Unexpected error (ID: 20241211010541-244d5340): asyncio.run() cannot be called from a running event loop
Traceback (most recent call last):
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 187, in run_bot
    balance, current_position, last_trade_time = await run_trading_iteration(
                                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 123, in run_trading_iteration
    market_data = await analyze_market_conditions(client, config, request_id, news_analyzer)
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 58, in analyze_market_conditions
    signals, market_condition = analyze_multiple_timeframes(
                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\signal_generator.py", line 231, in analyze_multiple_timeframes
    return asyncio.run(analyze_multiple_timeframes_async(symbol, timeframes, config))
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\AppData\Local\Programs\Python\Python311\Lib\asyncio\runners.py", line 186, in run
    raise RuntimeError(
RuntimeError: asyncio.run() cannot be called from a running event loop
2024-12-11 01:08:24,531 | TradingBot | ERROR | Market analysis failed: asyncio.run() cannot be called from a running event loop
2024-12-11 01:08:24,532 | TradingBot | ERROR | Error in trading iteration: asyncio.run() cannot be called from a running event loop
2024-12-11 01:08:24,534 | TradingBot | ERROR | Unexpected error (ID: 20241211010824-56727995): asyncio.run() cannot be called from a running event loop
Traceback (most recent call last):
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 187, in run_bot
    balance, current_position, last_trade_time = await run_trading_iteration(
                                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 123, in run_trading_iteration
    market_data = await analyze_market_conditions(client, config, request_id, news_analyzer)
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 58, in analyze_market_conditions
    signals, market_condition = analyze_multiple_timeframes(
                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\signal_generator.py", line 231, in analyze_multiple_timeframes
    return asyncio.run(analyze_multiple_timeframes_async(symbol, timeframes, config))
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\AppData\Local\Programs\Python\Python311\Lib\asyncio\runners.py", line 186, in run
    raise RuntimeError(
RuntimeError: asyncio.run() cannot be called from a running event loop
2024-12-11 01:09:24,560 | TradingBot | ERROR | Market analysis failed: asyncio.run() cannot be called from a running event loop
2024-12-11 01:09:24,561 | TradingBot | ERROR | Error in trading iteration: asyncio.run() cannot be called from a running event loop
2024-12-11 01:09:24,561 | TradingBot | ERROR | Unexpected error (ID: 20241211010924-0cff6b43): asyncio.run() cannot be called from a running event loop
Traceback (most recent call last):
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 187, in run_bot
    balance, current_position, last_trade_time = await run_trading_iteration(
                                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 123, in run_trading_iteration
    market_data = await analyze_market_conditions(client, config, request_id, news_analyzer)
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 58, in analyze_market_conditions
    signals, market_condition = analyze_multiple_timeframes(
                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\signal_generator.py", line 231, in analyze_multiple_timeframes
    return asyncio.run(analyze_multiple_timeframes_async(symbol, timeframes, config))
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\AppData\Local\Programs\Python\Python311\Lib\asyncio\runners.py", line 186, in run
    raise RuntimeError(
RuntimeError: asyncio.run() cannot be called from a running event loop
2024-12-11 01:10:26,404 | TradingBot | ERROR | Market analysis failed: cannot unpack non-iterable coroutine object
2024-12-11 01:10:26,406 | TradingBot | ERROR | Error in trading iteration: cannot unpack non-iterable coroutine object
2024-12-11 01:10:26,407 | TradingBot | ERROR | Unexpected error (ID: 20241211011026-ada1088b): cannot unpack non-iterable coroutine object
Traceback (most recent call last):
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 187, in run_bot
    balance, current_position, last_trade_time = await run_trading_iteration(
                                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 123, in run_trading_iteration
    market_data = await analyze_market_conditions(client, config, request_id, news_analyzer)
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 58, in analyze_market_conditions
    signals, market_condition = analyze_multiple_timeframes(
    ^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: cannot unpack non-iterable coroutine object
2024-12-11 01:11:26,410 | TradingBot | ERROR | Market analysis failed: cannot unpack non-iterable coroutine object
2024-12-11 01:11:26,412 | TradingBot | ERROR | Error in trading iteration: cannot unpack non-iterable coroutine object
2024-12-11 01:11:26,412 | TradingBot | ERROR | Unexpected error (ID: 20241211011126-406e7c0c): cannot unpack non-iterable coroutine object
Traceback (most recent call last):
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 187, in run_bot
    balance, current_position, last_trade_time = await run_trading_iteration(
                                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 123, in run_trading_iteration
    market_data = await analyze_market_conditions(client, config, request_id, news_analyzer)
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 58, in analyze_market_conditions
    signals, market_condition = analyze_multiple_timeframes(
    ^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: cannot unpack non-iterable coroutine object
2024-12-11 01:11:58,995 | TradingBot | ERROR | Market analysis failed: Cannot run the event loop while another loop is running
2024-12-11 01:11:58,995 | TradingBot | ERROR | Error in trading iteration: Cannot run the event loop while another loop is running
2024-12-11 01:11:58,997 | TradingBot | ERROR | Unexpected error (ID: 20241211011158-673d1cee): Cannot run the event loop while another loop is running
Traceback (most recent call last):
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 187, in run_bot
    balance, current_position, last_trade_time = await run_trading_iteration(
                                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 123, in run_trading_iteration
    market_data = await analyze_market_conditions(client, config, request_id, news_analyzer)
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 63, in analyze_market_conditions
    current_price = get_current_price(client, SYMBOL)
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\data_fetcher.py", line 93, in get_current_price
    result = loop.run_until_complete(get_current_price_async(symbol))
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py", line 629, in run_until_complete
    self._check_running()
  File "C:\Users\berka\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py", line 590, in _check_running
    raise RuntimeError(
RuntimeError: Cannot run the event loop while another loop is running
2024-12-11 01:12:59,015 | TradingBot | ERROR | Market analysis failed: Cannot run the event loop while another loop is running
2024-12-11 01:12:59,016 | TradingBot | ERROR | Error in trading iteration: Cannot run the event loop while another loop is running
2024-12-11 01:12:59,017 | TradingBot | ERROR | Unexpected error (ID: 20241211011259-bcb4b910): Cannot run the event loop while another loop is running
Traceback (most recent call last):
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 187, in run_bot
    balance, current_position, last_trade_time = await run_trading_iteration(
                                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\berka\OneDrive\Masaüstü\V2Bot\main.py", line 123, in run_trading_iteration
    market_data = await analyze_market_conditions(client, config, request_id, news_analyzer)
